countryName,cumulativeCases14Days
Afghanistan,3429
Albania,10905
Algeria,9881
Andorra,626
Angola,1085
Anguilla,6
Antigua_and_Barbuda,7
Argentina,79366
Armenia,13558
Aruba,211
Australia,138
Austria,41854
Azerbaijan,57679
Bahamas,178
Bahrain,2356
Bangladesh,28126
Barbados,17
Belarus,25287
Belgium,30170
Belize,3552
Benin,116
Bermuda,180
Bhutan,42
Bolivia,2528
"Bonaire Saint Eustatius and Saba",12
Bosnia_and_Herzegovina,13743
Botswana,2509
Brazil,587212
British_Virgin_Islands,3
Brunei_Darussalam,2
Bulgaria,36963
Burkina_Faso,1174
Burundi,48
Cambodia,36
Cameroon,1026
Canada,90465
Cape_Verde,831
Cayman_Islands,24
Central_African_Republic,23
Chad,88
Chile,21489
China,207
Colombia,117398
Comoros,17
Congo,275
Costa_Rica,13854
Cote_dIvoire,370
Croatia,49274
Cuba,1190
Curaçao,1260
Cyprus,4718
Czechia,61356
Democratic_Republic_of_the_Congo,1811
Denmark,30406
Djibouti,51
Dominica,2
Dominican_Republic,11219
Ecuador,9993
Egypt,6034
El_Salvador,3475
Equatorial_Guinea,32
Eritrea,134
Estonia,6003
Eswatini,358
Ethiopia,7235
Falkland_Islands_(Malvinas),2
Faroe_Islands,26
Fiji,4
Finland,6181
France,158369
French_Polynesia,1522
Gabon,139
Gambia,48
Georgia,55479
Germany,283209
Ghana,1445
Gibraltar,61
Greece,20307
Greenland,1
Grenada,28
Guam,288
Guatemala,7311
Guernsey,3
Guinea,381
Guinea_Bissau,22
Guyana,544
Haiti,301
Holy_See,0
Honduras,6471
Hungary,66748
Iceland,176
India,452409
Indonesia,83554
Iran,159520
Iraq,24199
Ireland,3944
Isle_of_Man,1
Israel,21879
Italy,258534
Jamaica,1001
Japan,32893
Jersey,851
Jordan,45307
Kazakhstan,12471
Kenya,8576
Kosovo,7523
Kuwait,3792
Kyrgyzstan,4867
Laos,2
Latvia,8700
Lebanon,19576
Lesotho,141
Liberia,81
Libya,8349
Liechtenstein,241
Lithuania,33696
Luxembourg,7299
Madagascar,297
Malawi,41
Malaysia,18990
Maldives,374
Mali,1155
Malta,1349
Marshall_Islands,0
Mauritania,2231
Mauritius,14
Mexico,142973
Moldova,19501
Monaco,60
Mongolia,121
Montenegro,6545
Montserrat,0
Morocco,45806
Mozambique,1341
Myanmar,18856
Namibia,2191
Nepal,16445
Netherlands,94473
New_Caledonia,4
New_Zealand,40
Nicaragua,103
Niger,742
Nigeria,5763
North_Macedonia,12095
Northern_Mariana_Islands,7
Norway,5275
Oman,2756
Pakistan,42763
Palestine,27869
Panama,28278
Papua_New_Guinea,70
Paraguay,11676
Peru,22443
Philippines,19536
Poland,150601
Portugal,53945
Puerto_Rico,16563
Qatar,2313
Romania,84799
Russia,384612
Rwanda,740
Saint_Kitts_and_Nevis,5
Saint_Lucia,18
Saint_Vincent_and_the_Grenadines,13
San_Marino,361
Sao_Tome_and_Principe,20
Saudi_Arabia,2760
Senegal,1000
Serbia,97218
Seychelles,14
Sierra_Leone,29
Singapore,107
Sint_Maarten,166
Slovakia,27251
Slovenia,20933
Solomon_Islands,0
Somalia,134
South_Africa,73262
South_Korea,9283
South_Sudan,97
Spain,102367
Sri_Lanka,9306
Sudan,3759
Suriname,41
Sweden,62536
Switzerland,55312
Syria,1369
Taiwan,65
Tajikistan,549
Thailand,260
Timor_Leste,1
Togo,289
Trinidad_and_Tobago,219
Tunisia,15110
Turkey,409380
Turks_and_Caicos_islands,21
Uganda,7387
Ukraine,177987
United_Arab_Emirates,17196
United_Kingdom,232076
United_Republic_of_Tanzania,0
United_States_of_America,2873433
United_States_Virgin_Islands,263
Uruguay,3992
Uzbekistan,2224
Vanuatu,0
Venezuela,5137
Vietnam,54
Western_Sahara,0
Yemen,6
Zambia,666
Zimbabwe,1296
